region,year,wastewater,chemical oxygen,ammonia nitrogen,so,no,smoke and powder,gdp
四川省,2009,262708.65,74.8,74.8,113.529913,,39.9,14151.28
貴州省,2009,59159.17,21.6,21.6,117.549419,,53.9,3912.68
雲南省,2009,87590.64,27.3,27.3,49.930678,,28,6169.75
西藏自治區,2009,3455.23,1.5,1.5,0.166,,0.3,441.36
陝西省,2009,111218.74,31.8,31.8,80.440763,,35,8169.8
甘肅省,2009,49270.16,16.8,16.8,50.030571,,24.6,3387.56
青海省,2009,22170.93,7.6,7.6,13.569826,,14.5,1081.27
寧夏回族自治區,2009,41336.46,12.5,12.5,31.424507,,13.4,1353.31
新疆維吾爾自治區,2009,77183.63,28.7,28.7,58.990005,,50.2,4277.05
北京市,2010,136415,9.2,9.2,11.505,,6.6,14113.58
天津市,2010,68196,13.2,13.2,23.515,,7.3,9224.46
河北省,2010,262543,54.6,54.6,123.378,,82.1,20394.26
山西省,2010,118299,33.3,33.3,124.9201,,98.6,9200.86
內蒙古自治區,2010,92548,27.5,27.5,139.41,,80.7,11672
遼寧省,2010,218189,54.2,54.2,102.2207,,80,18457.27
吉林省,2010,114431,35.2,35.2,35.631,,35.4,8667.58
黑龍江省,2010,118575,44.4,44.4,49.0164,,47.9,10368.6
上海市,2010,248250,22,22,35.81,,11.2,17165.98
江蘇省,2010,555500,78.8,78.8,105.0488,,48.6,41425.48
浙江省,2010,394828,48.7,48.7,67.8342,,31.3,27722.31
安徽省,2010,184700,41.1,41.1,53.2076,,51.9,12359.33
福建省,2010,238502,37.3,37.3,40.9051,,27.9,14737.12
江西省,2010,160661,43.1,43.1,55.7072,,38.8,9451.26
山東省,2010,436372,62.1,62.1,153.7818,,58.1,39169.92
河南省,2010,358679,62,62,133.8701,,77.4,23092.36
湖北省,2010,270755,57.2,57.2,63.2582,,33.9,15967.61
湖南省,2010,268110,79.8,79.8,80.1311,,70.6,16037.96
廣東省,2010,722978,85.8,85.8,105.0508,,41.5,46013.06
廣西壯族自治區,2010,312630,93.7,93.7,90.3826,,58,9569.85
海南省,2010,36689,9.2,9.2,2.881,,1.5,2064.5
重慶市,2010,128113,23.5,23.5,71.9404,,29.2,7925.58
四川省,2010,256095,74.1,74.1,113.0952,,48.2,17185.48
貴州省,2010,60823,20.8,20.8,114.883,,33.8,4602.16
雲南省,2010,91992,26.8,26.8,50.0702,,23,7224.18
西藏自治區,2010,3825,2.9,2.9,0.3857,,0.3,507.46
陝西省,2010,115673,30.8,30.8,77.8649,,34.8,10123.48
甘肅省,2010,51241,16.8,16.8,55.1785,,25.6,4120.75
青海省,2010,22609,8.3,8.3,14.3431,,17.5,1350.43
寧夏回族自治區,2010,40653,12.2,12.2,31.0752,,23.3,1689.65
新疆維吾爾自治區,2010,83690,29.6,29.6,58.8487,,52.9,5437.47
北京市,2011,145468.95,19.32,19.32,9.788333,18.832489,6.584804,16251.93
天津市,2011,67146.94,23.58,23.58,23.09,35.89,7.592253,11307.28
河北省,2011,278551.26,138.88,138.88,141.212873,180.113833,132.247713,24515.76
山西省,2011,116132.01,48.96,48.96,139.905129,128.601927,112.985408,11237.55
內蒙古自治區,2011,100388.99,91.9,91.9,140.940433,142.189656,73.98757,14359.88
遼寧省,2011,232247.02,134.34,134.34,112.616982,106.281692,69.315961,22226.7
吉林省,2011,116162.36,82.47,82.47,41.319052,60.4716,43.218066,10568.83
黑龍江省,2011,150661.01,157.65,157.65,52.189619,78.375304,65.58693,12582
上海市,2011,214155.09,24.9,24.9,24.01015,43.54001,8.98284,19195.69
江蘇省,2011,592773.76,124.62,124.62,105.379974,153.57401,52.735447,49110.27
浙江省,2011,420133.89,81.83,81.83,66.204827,85.905064,32.332004,32318.85
安徽省,2011,243265.24,95.33,95.33,52.947384,95.911357,45.222397,15300.65
福建省,2011,316177.53,67.94,67.94,38.917459,49.4507,22.534068,17560.18
江西省,2011,194431.55,76.79,76.79,58.406127,61.23411,39.603784,11702.82
山東省,2011,443330.98,198.25,198.25,182.73972,179.025261,78.384741,45361.85
河南省,2011,378784.85,143.67,143.67,137.050408,166.536329,66.821565,26931.03
湖北省,2011,293063.53,110.47,110.47,66.564029,66.96499,34.61498,19632.26
湖南省,2011,278811.44,130.52,130.52,68.552958,66.636832,38.44387,19669.56
廣東省,2011,785586.5,188.45,188.45,84.77276,138.822035,32.425594,53210.28
廣西壯族自治區,2011,222438.92,79.33,79.33,52.102251,49.400765,28.828585,11720.87
海南省,2011,35725.15,19.99,19.99,3.257239,9.538519,1.581753,2522.66
重慶市,2011,131449.83,41.68,41.68,58.692907,40.262101,18.097176,10011.37
四川省,2011,279851.96,130.23,130.23,90.20063,67.48532,38.59029,21026.68
貴州省,2011,77927.2,34.22,34.22,110.4284,55.318555,30.346681,5701.84
雲南省,2011,147523.1,55.47,55.47,69.122579,54.851777,38.224128,8893.12
西藏自治區,2011,4634.58,2.68,2.68,0.417573,4.062253,1.00354,605.83
陝西省,2011,121814.67,55.77,55.77,91.683868,83.174933,46.343028,12512.3
甘肅省,2011,59231.69,39.66,39.66,62.390218,48.085511,23.619079,5020.37
青海省,2011,21291.52,10.32,10.32,15.66021,12.411563,13.833585,1670.44
寧夏回族自治區,2011,39432.37,23.37,23.37,41.038549,45.817019,21.546507,2102.21
新疆維吾爾自治區,2011,83328.54,67.29,67.29,76.305529,75.508975,53.191188,6610.05
北京市,2012,140273.72,18.65,18.65,9.384939,17.749341,6.682478,17879.4
天津市,2012,82813.16,22.94,22.94,22.45214,33.422259,8.4064,12893.88
河北省,2012,305773.5,134.91,134.91,134.120115,176.110958,123.587724,26575.01
山西省,2012,134298.48,47.68,47.68,130.1755,124.396991,107.086336,12112.83
內蒙古自治區,2012,102424.49,88.39,88.39,138.492833,141.889736,83.30101,15880.58
遼寧省,2012,238768.79,130.59,130.59,105.87123,103.632195,72.625771,24846.43
吉林省,2012,119509.2,78.75,78.75,40.348225,57.585178,26.47558,11939.24
黑龍江省,2012,162589.08,149.88,149.88,51.429973,78.061137,69.927514,13691.58
上海市,2012,219244.06,24.26,24.26,22.821829,40.161786,8.714842,20181.72
江蘇省,2012,598210.95,119.7,119.7,99.196679,147.960869,44.32077,54058.22
浙江省,2012,420960.52,78.62,78.62,62.576642,80.884879,25.402981,34665.33
安徽省,2012,254328.89,92.43,92.43,51.958935,92.126788,46.205861,17212.05
福建省,2012,256262.77,66,66,37.125134,46.721098,25.263535,19701.78
江西省,2012,201189.71,74.83,74.83,56.768721,57.709516,35.737306,12948.88
山東省,2012,479100.25,192.12,192.12,174.880699,173.89733,69.526681,50013.24
河南省,2012,403667.62,139.36,139.36,127.590933,162.589769,59.982347,29599.31
湖北省,2012,290200.42,108.66,108.66,62.236729,64.000789,34.965723,22250.45
湖南省,2012,304214.43,126.34,126.34,64.495947,60.72138,34.072352,22154.23
廣東省,2012,838550.53,180.29,180.29,79.922324,130.342877,32.825162,57067.92
廣西壯族自治區,2012,245577.8,78.03,78.03,50.412333,49.825564,29.972301,13035.1
海南省,2012,37103.42,19.74,19.74,3.413686,10.339233,1.660557,2855.54
重慶市,2012,132430.2,40.28,40.28,56.477663,38.267054,18.22657,11409.6
四川省,2012,283657.06,126.87,126.87,86.444044,65.900469,29.583611,23872.8
貴州省,2012,91455.12,33.3,33.3,104.108662,56.35387,29.449699,6852.2
雲南省,2012,154009.74,54.86,54.86,67.221592,54.43463,39.064591,10309.47
西藏自治區,2012,4683.14,2.58,2.58,0.418466,4.43079,0.65945,701.03
陝西省,2012,128749.05,53.62,53.62,84.375544,80.812882,46.205081,14453.68
甘肅省,2012,62813.02,38.93,38.93,57.24894,47.33818,20.756702,5650.2
青海省,2012,21994.46,10.38,10.38,15.385333,12.605873,15.639296,1893.54
寧夏回族自治區,2012,38948.08,22.8,22.8,40.663325,45.540494,19.833671,2341.29
新疆維吾爾自治區,2012,93810.49,67.92,67.92,79.612841,81.94773,69.612597,7505.31
北京市,2013,144579.93,17.85,17.85,8.704162,16.632912,5.928595,19800.81
天津市,2013,84210,22.15,22.15,21.683207,31.171926,8.745688,14442.01
河北省,2013,310920.54,130.99,130.99,128.469746,165.246763,131.331262,28442.95
山西省,2013,138030.43,46.13,46.13,125.542692,115.780422,102.671812,12665.25
內蒙古自治區,2013,106920.47,86.32,86.32,135.869174,137.75731,82.212673,16916.5
遼寧省,2013,234508.18,125.26,125.26,102.704407,95.53814,67.058564,27213.22
吉林省,2013,117702.53,76.12,76.12,38.145265,56.051874,32.018746,13046.4
黑龍江省,2013,153089.62,144.73,144.73,48.909376,75.158831,72.245424,14454.91
上海市,2013,222962.91,23.56,23.56,21.584815,38.035461,8.092498,21818.15
江蘇省,2013,594359.1,114.89,114.89,94.167905,133.804044,49.996061,59753.37
浙江省,2013,419120.3,75.51,75.51,59.336379,75.297623,31.974593,37756.59
安徽省,2013,266234.19,90.27,90.27,50.134913,86.366862,41.861727,19229.34
福建省,2013,259097.86,63.9,63.9,36.100348,43.834409,25.936341,21868.49
江西省,2013,207137.56,73.45,73.45,55.77036,57.040806,35.627127,14410.19
山東省,2013,494570.19,184.57,184.57,164.496709,165.132758,69.672561,55230.32
河南省,2013,412581.82,135.42,135.42,125.398382,156.56434,64.127314,32191.3
湖北省,2013,294053.96,105.82,105.82,59.935287,61.239226,35.952492,24791.83
湖南省,2013,307227,124.9,124.9,64.132104,58.816068,35.86713,24621.67
廣東省,2013,862471.08,173.39,173.39,76.189606,120.423938,35.396754,62474.79
廣西壯族自治區,2013,225302.67,75.94,75.94,47.19868,50.430691,28.947382,14449.9
海南省,2013,36156.05,19.44,19.44,3.241415,10.024859,1.800318,3177.56
重慶市,2013,142535.47,39.18,39.18,54.768606,36.204251,19.120448,12783.26
四川省,2013,307647.83,123.2,123.2,81.670601,62.431395,29.600485,26392.07
貴州省,2013,93084.53,32.82,32.82,98.642312,55.729249,30.130156,8086.86
雲南省,2013,156583.28,54.72,54.72,66.309124,52.367247,38.689516,11832.31
西藏自治區,2013,5004.68,2.58,2.58,0.419166,4.43276,0.675075,815.67
陝西省,2013,132169.33,51.93,51.93,80.615232,75.889778,53.773857,16205.45
甘肅省,2013,64969.46,37.91,37.91,56.198082,44.292565,22.657372,6330.69
青海省,2013,21953.03,10.34,10.34,15.6694,13.22561,17.376204,2122.06
寧夏回族自治區,2013,38528.43,22.19,22.19,38.97123,43.743967,23.061965,2577.57
新疆維吾爾自治區,2013,100720.29,67.24,67.24,82.943108,88.692657,75.590937,8443.84
北京市,2014,150713.57,16.88,16.88,7.890603,15.095514,5.737245,21330.83
天津市,2014,89361.44,21.43,21.43,20.92,28.23,13.951147,15726.93
河北省,2014,309823.96,126.85,126.85,118.990256,151.246892,179.768342,29421.15
山西省,2014,145033.49,44.13,44.13,120.822528,106.985977,150.677802,12761.49
內蒙古自治區,2014,111916.93,84.77,84.77,131.243637,125.828103,102.151038,17770.19
遼寧省,2014,262878.96,121.7,121.7,99.45974,90.196407,112.070144,28626.58
吉林省,2014,122170.66,74.3,74.3,37.2256,54.924684,47.513299,13803.14
黑龍江省,2014,149643.71,142.39,142.39,47.22484,73.058486,79.354857,15039.38
上海市,2014,221159.73,22.44,22.44,18.814916,33.279047,14.16501,23567.7
江蘇省,2014,601157.86,110,110,90.474062,123.255249,76.367835,65088.32
浙江省,2014,418261.9,72.54,72.54,57.401217,68.785005,37.966645,40173.03
安徽省,2014,272313.12,88.56,88.56,49.296567,80.730479,65.278196,20848.75
福建省,2014,260579.22,62.98,62.98,35.59572,41.16615,36.790263,24055.76
江西省,2014,208289.04,72.01,72.01,53.441492,54.011493,46.233057,15714.63
山東省,2014,514423.34,178.04,178.04,159.023696,159.331072,120.810246,59426.59
河南省,2014,422832.29,131.87,131.87,119.818207,142.201346,88.210259,34938.24
湖北省,2014,301703.65,103.31,103.31,58.375924,58.022162,50.400607,27379.22
湖南省,2014,309960.48,122.9,122.9,62.36886,55.277306,49.616587,27037.32
廣東省,2014,905082.06,167.06,167.06,73.014658,112.211174,44.954889,67809.85
廣西壯族自治區,2014,219304.06,74.4,74.4,46.658874,44.239876,40.293462,15672.89
海南省,2014,39351.07,19.6,19.6,3.256391,9.50019,2.317124,3500.72
重慶市,2014,145822.16,38.64,38.64,52.694428,35.501797,22.613056,14262.6
四川省,2014,331276.53,121.63,121.63,79.640153,58.543861,42.862991,28536.66
貴州省,2014,110912.12,32.67,32.67,92.57871,49.10707,37.785614,9266.39
雲南省,2014,157544.15,53.38,53.38,63.668323,49.887994,36.681871,12814.59
西藏自治區,2014,5449.68,2.79,2.79,0.424987,4.834352,1.388988,920.83
陝西省,2014,145785.38,50.49,50.49,78.095438,70.575599,70.913744,17689.94
甘肅省,2014,65973.23,37.32,37.32,57.564872,41.83998,34.581085,6836.82
青海省,2014,23001.19,10.5,10.5,15.4276,13.451807,23.986681,2303.32
寧夏回族自治區,2014,37277.25,21.98,21.98,37.705554,40.403235,23.917083,2752.1
新疆維吾爾自治區,2014,102748.31,67.02,67.02,85.298133,86.279227,81.391592,9273.46
北京市,2015,151733.34,16.15,16.15,7.117167,13.762714,4.938655,23014.59
天津市,2015,93008.03,20.91,20.91,18.590043,24.680002,10.068572,16538.19
河北省,2015,310567.56,120.81,120.81,110.837093,135.080834,157.541712,29806.11
山西省,2015,145252.2,40.51,40.51,112.064318,93.075079,144.89037,12766.49
內蒙古自治區,2015,110861.37,83.56,83.56,123.094568,113.901323,87.875273,17831.51
遼寧省,2015,260044.58,116.75,116.75,96.876693,82.812364,100.003837,28669.02
吉林省,2015,126908.02,72.42,72.42,36.2928,50.1664,44.732949,14063.13
黑龍江省,2015,148594.83,139.27,139.27,45.633121,64.48114,64.406447,15083.67
上海市,2015,224147.22,19.88,19.88,17.084352,30.062106,12.066829,25123.45
江蘇省,2015,621302.8,105.46,105.46,83.505881,106.764249,65.450071,70116.38
浙江省,2015,433822.46,68.32,68.32,53.782634,60.769972,33.024884,42886.49
安徽省,2015,280626.24,87.11,87.11,48.007279,72.100859,54.591671,22005.63
福建省,2015,256868.17,60.94,60.94,33.788174,37.902184,34.166362,25979.82
江西省,2015,223232.28,71.56,71.56,52.806492,49.269336,48.062427,16723.78
山東省,2015,559907.67,175.76,175.76,152.56701,142.388403,108.246103,63002.33
河南省,2015,433486.68,128.72,128.72,114.425203,126.237187,84.612501,37002.16
湖北省,2015,313784.76,98.61,98.61,55.1358,51.446061,44.6974,29550.19
湖南省,2015,314107.41,120.77,120.77,59.547342,49.692811,45.449938,28902.21
廣東省,2015,911522.63,160.69,160.69,67.834135,99.689919,34.778572,72812.55
廣西壯族自治區,2015,220066.33,71.12,71.12,42.11987,37.34352,35.586528,16803.12
海南省,2015,39123.49,18.79,18.79,3.230006,8.951824,2.04,3702.76
重慶市,2015,149798.54,37.98,37.98,49.580196,32.071713,20.907814,15717.27
四川省,2015,341607.41,118.64,118.64,71.758445,52.588033,41.257166,30053.1
貴州省,2015,112803.12,31.83,31.83,85.29645,41.91372,28.558872,10502.56
雲南省,2015,173333.44,51.03,51.03,58.373922,44.936561,31.256329,13619.17
西藏自治區,2015,5883.3,2.88,2.88,0.537302,5.272745,1.708492,1026.39
陝西省,2015,168121.98,48.91,48.91,73.501721,62.736616,60.364892,18021.86
甘肅省,2015,67071.51,36.57,36.57,57.062139,38.727154,29.543986,6790.32
青海省,2015,23662.83,10.43,10.43,15.0766,11.7855,24.602004,2417.05
寧夏回族自治區,2015,32024.56,21.1,21.1,35.759619,36.763387,22.990947,2911.77
新疆維吾爾自治區,2015,99952.06,66.03,66.03,77.833032,73.650476,59.591668,9324.8
北京市,2016,166419.28,8.71,8.71,3.321002,9.611941,3.453535,25669.13
天津市,2016,91534.42,10.33,10.33,7.061409,14.474863,7.814413,17885.39
河北省,2016,288794.55,41.12,41.12,78.944381,112.664012,125.683595,32070.45
山西省,2016,139291.06,22.71,22.71,68.644428,67.278849,68.148564,13050.41
內蒙古自治區,2016,104695.97,16.95,16.95,62.574223,64.534248,59.898195,18128.1
遼寧省,2016,228201.74,25.82,25.82,50.76952,61.526182,64.908752,22246.9
吉林省,2016,97073.31,17.74,17.74,18.806571,30.071935,21.865889,14776.8
黑龍江省,2016,138334.75,29.63,29.63,33.822091,53.968052,44.706089,15386.09
上海市,2016,220758.79,14.75,14.75,7.424577,16.631502,7.945541,28178.65
江蘇省,2016,616624.01,74.65,74.65,57.01157,93.032482,47.170989,77388.28
浙江省,2016,430856.78,46.15,46.15,26.838463,38.03994,18.231519,47251.36
安徽省,2016,240665.86,49.63,49.63,28.156651,50.761504,32.129814,24407.62
福建省,2016,237016.09,39.16,39.16,18.925718,26.183516,23.786802,28810.58
江西省,2016,221091.88,55.47,55.47,27.688822,41.926736,33.306102,18499
山東省,2016,507591.29,53.05,53.05,113.452443,122.938273,87.382936,68024.49
河南省,2016,402055.1,46.43,46.43,41.362267,80.828359,42.889249,40471.79
湖北省,2016,274787.28,51.99,51.99,28.560299,39.13684,27.581396,32665.38
湖南省,2016,298756.94,60.26,60.26,34.676641,42.063971,26.20681,31551.37
廣東省,2016,938261.03,96.42,96.42,35.369257,84.266056,28.16887,80854.91
廣西壯族自治區,2016,193186.25,41.6,41.6,20.106367,30.290023,26.190624,18317.64
海南省,2016,44097.17,7.59,7.59,1.695763,6.20028,2.075151,4053.2
重慶市,2016,202061.27,25.57,25.57,28.833775,21.772228,9.579942,17740.59
四川省,2016,352826.44,67.68,67.68,48.826945,45.097676,27.268075,32934.54
貴州省,2016,100720.11,25.59,25.59,64.706392,37.789334,20.432619,11776.73
雲南省,2016,181089.33,37.38,37.38,52.620898,44.693545,24.762883,14788.42
西藏自治區,2016,6142.75,2.74,2.74,0.541141,5.5227,1.65284,1151.41
陝西省,2016,166565.04,18.73,18.73,31.801239,38.030052,28.743142,19399.59
甘肅省,2016,66324.7,16.15,16.15,27.197589,25.799438,18.032104,7200.37
青海省,2016,27275.14,7.03,7.03,11.36927,9.416323,14.855495,2572.49
寧夏回族自治區,2016,33948.67,11.97,11.97,23.685901,19.784026,20.117401,3168.59
新疆維吾爾自治區,2016,93906.89,23.54,23.54,48.068693,59.976065,45.673329,9649.7
北京市,2017,133187.89,8.18,8.18,2.00854,14.451388,2.042374,28014.94
天津市,2017,90789.96,9.26,9.26,5.564387,14.226498,6.519122,18549.19
河北省,2017,253685.36,48.68,48.68,60.236582,105.604938,80.368919,34016.32
山西省,2017,135057.27,19.52,19.52,57.307761,52.104326,43.375575,15528.42
內蒙古自治區,2017,104250.82,14.97,14.97,54.625473,50.54581,53.619327,16096.21
遼寧省,2017,237970.98,25.36,25.36,38.970974,60.505607,55.745645,23409.24
吉林省,2017,121464.23,17.45,17.45,16.610872,25.535784,19.565203,14944.53
黑龍江省,2017,138120.68,24.82,24.82,29.365933,40.959256,40.223433,15902.68
上海市,2017,211950.85,14.18,14.18,1.850223,19.394052,4.703225,30632.99
江蘇省,2017,575195.76,74.42,74.42,41.069043,90.722185,39.082348,85869.76
浙江省,2017,453935.03,41.86,41.86,19.046812,43.202722,15.342108,51768.26
安徽省,2017,233837.62,49.56,49.56,23.541941,49.001315,28.081832,27018
福建省,2017,238279.19,39.49,39.49,13.389072,27.716478,17.016742,32182.09
江西省,2017,189362.32,51.95,51.95,21.54641,35.544466,27.946462,20006.31
山東省,2017,499884.15,52.08,52.08,73.912142,115.862085,54.955694,72634.15
河南省,2017,409107.39,43.07,43.07,28.631667,66.289213,22.340459,44552.83
湖北省,2017,272694.21,51.93,51.93,22.005971,37.672874,18.80229,35478.09
湖南省,2017,300563.22,57.58,57.58,21.458489,36.465884,20.705808,33902.96
廣東省,2017,882020.48,100.09,100.09,27.677381,82.970321,26.08372,89705.23
廣西壯族自治區,2017,198143.77,45.59,45.59,17.731818,34.558986,20.910361,18523.26
海南省,2017,44080.82,7.82,7.82,1.427149,6.013201,2.092736,4462.54
重慶市,2017,200676.88,25.27,25.27,25.338146,20.395491,8.330284,19424.73
四川省,2017,362437.56,67.51,67.51,38.91429,45.75983,22.400398,36980.22
貴州省,2017,118016.67,27.25,27.25,68.746546,35.966921,19.682533,13540.83
雲南省,2017,185111.86,33.07,33.07,38.444937,26.883432,22.415442,16376.34
西藏自治區,2017,7175.65,2.5,2.5,0.346281,3.015352,0.657008,1310.92
陝西省,2017,175954.54,19.64,19.64,27.935933,33.980318,23.668682,21898.81
甘肅省,2017,64513.86,13.24,13.24,25.881114,21.254363,17.707444,7459.9
青海省,2017,27115.01,5.75,5.75,9.241666,7.228475,12.953176,2624.83
寧夏回族自治區,2017,30734.75,10.02,10.02,20.752016,16.165366,18.771797,3443.56
新疆維吾爾自治區,2017,101291.19,19.87,19.87,41.818006,38.835426,50.154116,10881.96
